GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
      41 2017  8 21  0  3 14 469  4.8736    177.27244    896.14033    811.36313    -16.59687     16.82814     -4.40865     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12745   0.20272  -1.00000
      42 2017  8 21  0  3 19 344  4.8747    177.28545    895.96681    811.39424    -17.31947     18.01456     -4.45671     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12710   0.20272  -1.00000
      43 2017  8 21  0  3 24 219  4.8753    177.29710    895.79655    811.43603    -19.08823     18.67851     -4.49513     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12674   0.20272  -1.00000
      44 2017  8 21  0  3 29  94  4.8752    177.30782    895.63229    811.48961    -19.86063     19.61468     -4.51995     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12639   0.20272  -1.00000
      45 2017  8 21  0  3 33 969  4.8746    177.32054    895.47701    811.55662    -19.36752     20.76521     -4.53614     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12603   0.20272  -1.00000
      46 2017  8 21  0  3 38 843  4.8739    177.33560    895.33537    811.63863    -20.66482     21.21203     -4.54097     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12568   0.20272  -1.00000
      47 2017  8 21  0  3 43 716  4.8733    177.34904    895.21317    811.73740    -21.19878     22.58821     -4.53221     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12532   0.20272  -1.00000
      48 2017  8 21  0  3 48 589  4.8728    177.35792    896.25107    811.85483    -23.57915     23.68676     -4.51310     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12497   0.20272  -1.00000
      49 2017  8 21  0  3 53 461  4.8720    177.36470    897.94891    811.99299    -24.89091     24.06554     -4.47569     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12461   0.20272  -1.00000
      50 2017  8 21  0  3 58 332  4.8708    177.37392    899.53246    812.15392    -24.76831     25.66756     -4.42389     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12426   0.20272  -1.00000
      51 2017  8 21  0  4  3 201  4.8691    177.38589    901.08996    812.33927    -25.35535     26.58530     -4.35769     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12391   0.20272  -1.00000
      52 2017  8 21  0  4  8  68  4.8673    177.39612    902.79417    812.55052    -26.23584     27.28551     -4.27245     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12355   0.20272  -1.00000
      53 2017  8 21  0  4 12 934  4.8657    177.40071    904.30258    812.78897    -28.22923     28.89304     -4.17167     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12320   0.20272  -1.00000
      54 2017  8 21  0  4 17 798  4.8644    177.39944    905.52054    813.05565    -30.50046     29.60412     -4.04944     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12285   0.20272  -1.00000
      55 2017  8 21  0  4 22 662  4.8634    177.39614    906.99063    813.35021    -31.23243     30.50785     -3.90503     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12249   0.20272  -1.00000
      56 2017  8 21  0  4 27 524  4.8624    177.39230    908.30328    813.67187    -30.26142     31.98398     -3.74158     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12214   0.20272  -1.00000
      57 2017  8 21  0  4 32 385  4.8613    177.38806    909.23996    814.01893    -32.24130     32.37021     -3.55865     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12178   0.20272  -1.00000
      58 2017  8 21  0  4 37 245  4.8602    177.38670    910.48284    814.38856    -32.52806     33.81378     -3.35190     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12143   0.20272  -1.00000
      59 2017  8 21  0  4 42 105  4.8591    177.38736    911.45882    814.77602    -36.00463     35.15188     -3.12780     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12108   0.20272  -1.00000
      60 2017  8 21  0  4 46 963  4.8580    177.38317    912.20356    815.17582    -38.09603     35.21548     -2.87718     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12072   0.20272  -1.00000
      61 2017  8 21  0  4 51 819  4.8569    177.37367    913.15980    815.58024    -38.20383     36.88752     -2.60286     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12037   0.20272  -1.00000
      62 2017  8 21  0  4 56 675  4.8560    177.36312    913.64540    815.98059    -37.94899     37.97589     -2.31114     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12002   0.20272  -1.00000
      63 2017  8 21  0  5  0   0  3.3241    177.35589    914.32814    816.24595    -39.43348     37.92224     -2.09793     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11978   0.20272  -1.00000
