EIT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
6.62814e+00 5.00000e+00 1.25560e-01 2.90788e-01 8.69833e-02 8.32951e-02
6.64572e+00 5.00000e+00 1.16489e-01 2.79209e-01 7.37544e-02 7.38034e-02
6.66331e+00 5.00000e+00 1.09589e-01 2.70315e-01 6.26719e-02 6.58325e-02
6.68090e+00 5.00000e+00 1.03493e-01 2.64031e-01 5.33769e-02 5.91780e-02
6.69849e+00 5.00000e+00 9.71326e-02 2.60404e-01 4.55700e-02 5.36736e-02
6.71608e+00 5.00000e+00 8.98785e-02 2.59389e-01 3.90028e-02 4.91679e-02
6.73366e+00 5.00000e+00 8.22570e-02 2.59873e-01 3.34603e-02 4.54423e-02
6.75125e+00 5.00000e+00 7.49393e-02 2.60436e-01 2.87581e-02 4.23016e-02
6.76884e+00 5.00000e+00 6.84011e-02 2.59651e-01 2.47572e-02 3.96083e-02
6.78643e+00 5.00000e+00 6.29560e-02 2.56086e-01 2.13432e-02 3.72582e-02
6.80401e+00 5.00000e+00 5.88235e-02 2.48377e-01 1.84242e-02 3.51733e-02
6.82160e+00 5.00000e+00 5.60013e-02 2.36150e-01 1.59189e-02 3.32868e-02
6.83919e+00 5.00000e+00 5.41779e-02 2.20788e-01 1.37619e-02 3.15421e-02
6.85678e+00 5.00000e+00 5.30991e-02 2.03686e-01 1.18987e-02 2.98920e-02
6.87437e+00 5.00000e+00 5.25815e-02 1.85977e-01 1.02846e-02 2.82977e-02
6.89195e+00 5.00000e+00 5.24853e-02 1.68527e-01 8.88345e-03 2.67279e-02
6.90954e+00 5.00000e+00 5.26960e-02 1.51956e-01 7.66404e-03 2.51552e-02
6.92713e+00 5.00000e+00 5.30954e-02 1.37355e-01 6.61545e-03 2.35756e-02
6.94472e+00 5.00000e+00 5.35534e-02 1.25943e-01 5.73310e-03 2.19988e-02
6.96231e+00 5.00000e+00 5.39376e-02 1.18601e-01 5.00644e-03 2.04322e-02
6.97989e+00 5.00000e+00 5.41092e-02 1.16233e-01 4.42279e-03 1.88818e-02
