EUVI-A filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
4.85175e+00 5.53846e+00 1.94825e-02 5.03695e-02 2.62852e-02 6.44535e+00
4.86934e+00 5.53846e+00 2.70455e-02 6.67147e-02 3.40640e-02 8.18090e+00
4.88693e+00 5.53846e+00 3.59914e-02 8.48698e-02 4.34481e-02 1.00454e+01
4.90452e+00 5.53846e+00 4.57267e-02 1.03263e-01 5.44079e-02 1.18632e+01
4.92211e+00 5.53846e+00 5.54477e-02 1.20233e-01 6.68819e-02 1.34401e+01
4.93969e+00 5.53846e+00 6.47013e-02 1.35402e-01 8.10874e-02 1.46771e+01
4.95728e+00 5.53846e+00 7.32674e-02 1.49136e-01 9.74681e-02 1.55223e+01
4.97487e+00 5.53846e+00 8.10978e-02 1.62309e-01 1.16692e-01 1.59554e+01
4.99246e+00 5.53846e+00 8.83228e-02 1.76285e-01 1.39796e-01 1.59839e+01
5.01005e+00 5.53846e+00 9.52242e-02 1.92906e-01 1.68312e-01 1.56383e+01
5.02763e+00 5.53846e+00 1.02195e-01 2.13481e-01 2.03660e-01 1.49988e+01
5.04522e+00 5.53846e+00 1.09755e-01 2.38766e-01 2.46875e-01 1.41735e+01
5.06281e+00 5.53846e+00 1.18578e-01 2.69714e-01 2.98734e-01 1.32582e+01
5.08040e+00 5.53846e+00 1.29578e-01 3.07632e-01 3.59583e-01 1.23306e+01
5.09799e+00 5.53846e+00 1.44053e-01 3.54294e-01 4.28965e-01 1.14497e+01
5.11557e+00 5.53846e+00 1.63750e-01 4.11889e-01 5.05401e-01 1.06539e+01
5.13316e+00 5.53846e+00 1.90201e-01 4.82123e-01 5.87806e-01 9.94231e+00
5.15075e+00 5.53846e+00 2.25168e-01 5.66135e-01 6.74814e-01 9.30570e+00
5.16834e+00 5.53846e+00 2.71168e-01 6.64610e-01 7.64405e-01 8.73644e+00
5.18592e+00 5.53846e+00 3.31709e-01 7.77238e-01 8.53653e-01 8.22889e+00
5.20351e+00 5.53846e+00 4.11890e-01 9.02433e-01 9.38823e-01 7.77791e+00
5.22110e+00 5.53846e+00 5.18157e-01 1.03810e+00 1.01609e+00 7.37768e+00
5.23869e+00 5.53846e+00 6.57364e-01 1.18515e+00 1.08365e+00 7.01761e+00
5.25628e+00 5.53846e+00 8.37053e-01 1.34556e+00 1.14016e+00 6.68859e+00
5.27386e+00 5.53846e+00 1.06471e+00 1.52196e+00 1.18437e+00 6.38350e+00
5.29145e+00 5.53846e+00 1.34689e+00 1.71828e+00 1.21513e+00 6.09602e+00
5.30904e+00 5.53846e+00 1.68638e+00 1.93930e+00 1.23131e+00 5.82140e+00
5.32663e+00 5.53846e+00 2.08524e+00 2.18827e+00 1.23296e+00 5.55572e+00
5.34422e+00 5.53846e+00 2.54697e+00 2.46534e+00 1.22120e+00 5.29583e+00
5.36180e+00 5.53846e+00 3.07244e+00 2.76893e+00 1.19726e+00 5.03914e+00
5.37939e+00 5.53846e+00 3.65953e+00 3.09592e+00 1.16226e+00 4.78293e+00
5.39698e+00 5.53846e+00 4.29972e+00 3.43992e+00 1.11727e+00 4.52515e+00
5.41457e+00 5.53846e+00 4.97761e+00 3.79192e+00 1.06366e+00 4.26500e+00
5.43216e+00 5.53846e+00 5.67276e+00 4.14482e+00 1.00507e+00 4.00863e+00
5.44974e+00 5.53846e+00 6.35753e+00 4.49152e+00 9.45469e-01 3.76353e+00
5.46733e+00 5.53846e+00 6.99660e+00 4.82360e+00 8.87888e-01 3.53498e+00
5.48492e+00 5.53846e+00 7.54472e+00 5.12987e+00 8.34746e-01 3.32734e+00
5.50251e+00 5.53846e+00 7.95003e+00 5.39706e+00 7.87882e-01 3.14384e+00
5.52010e+00 5.53846e+00 8.18336e+00 5.61563e+00 7.48810e-01 2.98553e+00
5.53768e+00 5.53846e+00 8.28864e+00 5.79117e+00 7.18983e-01 2.84948e+00
5.55527e+00 5.53846e+00 8.32808e+00 5.93330e+00 6.99922e-01 2.73279e+00
5.57286e+00 5.53846e+00 8.36605e+00 6.05217e+00 6.93632e-01 2.63365e+00
5.59045e+00 5.53846e+00 8.46870e+00 6.15865e+00 7.02996e-01 2.55086e+00
5.60804e+00 5.53846e+00 8.70697e+00 6.26384e+00 7.32333e-01 2.48392e+00
5.62562e+00 5.53846e+00 9.12346e+00 6.37175e+00 7.83223e-01 2.43414e+00
5.64321e+00 5.53846e+00 9.72924e+00 6.47807e+00 8.53031e-01 2.40465e+00
5.66080e+00 5.53846e+00 1.05460e+01 6.57742e+00 9.38524e-01 2.39961e+00
5.67839e+00 5.53846e+00 1.16112e+01 6.66392e+00 1.03508e+00 2.42452e+00
5.69598e+00 5.53846e+00 1.29823e+01 6.73102e+00 1.13563e+00 2.48706e+00
5.71356e+00 5.53846e+00 1.47365e+01 6.77250e+00 1.23056e+00 2.59707e+00
5.73115e+00 5.53846e+00 1.69300e+01 6.79061e+00 1.31419e+00 2.75895e+00
5.74874e+00 5.53846e+00 1.95934e+01 6.79143e+00 1.38307e+00 2.97557e+00
5.76633e+00 5.53846e+00 2.27428e+01 6.78079e+00 1.43363e+00 3.25288e+00
5.78391e+00 5.53846e+00 2.63610e+01 6.76420e+00 1.46218e+00 3.59999e+00
5.80150e+00 5.53846e+00 3.03846e+01 6.74691e+00 1.46522e+00 4.03066e+00
5.81909e+00 5.53846e+00 3.47093e+01 6.73514e+00 1.44206e+00 4.55799e+00
5.83668e+00 5.53846e+00 3.93022e+01 6.73822e+00 1.39999e+00 5.18036e+00
5.85427e+00 5.53846e+00 4.41408e+01 6.76664e+00 1.34731e+00 5.88525e+00
5.87185e+00 5.53846e+00 4.91874e+01 6.83201e+00 1.29136e+00 6.64639e+00
5.88944e+00 5.53846e+00 5.43966e+01 6.94818e+00 1.23825e+00 7.42042e+00
